,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-826N14.2,0.007794422473468895,-0.04422761453947523,0.30915223570787126,-0.042676461785243924,0.9659594432451125,
FAM153B,0.5370216295327301,-0.3891532409214759,0.42084180827054957,-1.3173286186255426,0.18772849630950694,0.39732187087985216
RP11-844P9.1,0.001954571189528663,-0.001174246407131093,0.3780164193688819,0.019528600860206472,0.9844194212036758,
RP11-844P9.2,0.0030665380316077175,0.015118799956113179,0.7175042402194741,0.0362961886349621,0.971046188967717,
SIMC1,2.8763527589119224,-0.6401097694162908,0.1507236011955765,-4.503811236580253,6.674549730735978e-06,8.144481757001072e-05
KIAA1191,10.907716449905198,-0.22524436949635632,0.13084760341948562,-1.9213537078744432,0.05468713041140497,0.16237750936388007
RP11-843P14.1,0.0015245383531976215,0.010448774766459473,0.7131010327222068,0.02385871439326583,0.9809653060414595,
ARL10,0.6966530827617787,0.013031643012927648,0.2035423898239759,0.19705496530356018,0.8437845248477516,0.9510292179199713
NOP16,6.856935571696782,0.1636498794197576,0.09534752193031826,1.885746647547651,0.059329103585694064,0.1725366641324728
HIGD2A,104.66240179020167,0.1428215015439143,0.056280234685645136,2.606968518844497,0.009134775834673424,0.039895462186166686
CLTB,25.229244423492567,0.11091034833483723,0.07755814454801405,1.5307013112514816,0.12584322956816263,0.3000395658925371
FAF2,9.142059877686346,0.3443812985929757,0.1832156694390204,2.307067387195783,0.021051063706383658,0.0780357786732822
RNF44,12.643998787351652,-0.5194879988311737,0.1020338336263487,-5.229199187164239,1.7024586389881197e-07,2.986686776181447e-06
CDHR2,0.022221249905778114,-0.07536294152909173,0.34862995930617546,-0.1445418922070839,0.8850725785534828,
GPRIN1,0.039827779525311864,0.0833191725799604,0.39826002732569393,0.23401437330340027,0.8149738201633658,
SNCB,0.008162507018904086,-0.011595877935510817,0.32487621160163627,-0.009957119482432858,0.9920554993703451,
TSPAN17,6.2381893495345695,0.2754402965057139,0.16444896246467616,1.9914477736435678,0.04643168151082395,0.14327012385656018
HK3,11.052886780382348,0.07934331236408527,0.3401189904176811,0.41124145133381823,0.6808954963376677,0.8694658705755309
UIMC1,13.291807356903627,-0.21063677450704854,0.13610240936359635,-1.8042502566465977,0.07119208400758611,0.19805654093130712
ZNF346,2.4170109080577107,0.015372853390600703,0.14342948705074904,0.14916248563087867,0.881425420904877,0.9665116581960602
FGFR4,0.03348387441071626,-0.021174039031892838,0.36362799262566786,-0.01100809545470877,0.9912169879780827,
NSD1,19.83908816455758,0.0023442791649696767,0.11176339574197586,0.04541048340698054,0.9637801250583845,0.9918118450582668
RAB24,25.905188600577034,0.08149214269497476,0.12858935505655456,0.7643958912245121,0.4446313565410973,0.6916223889108981
MXD3,3.1598983347218113,0.051979561219843214,0.256100381946358,0.3428552879167599,0.7317073302192434,0.8939025621335275
PRELID1,69.91481883670792,0.6052925952519382,0.13312263490952553,4.860490520387793,1.1709525126313055e-06,1.7451178525281803e-05
LMAN2,39.13731205889497,0.30896335926250745,0.1437553389325171,2.5139828301242866,0.011937624559643792,0.049536549219998074
RGS14,13.765175580203165,0.19560543123533383,0.08090690450837529,2.548546487961833,0.010817286850757654,0.04592143260463038
SLC34A1,0.022228963912486292,-0.041713152342697395,0.34795520018632226,-0.07277671870185135,0.9419837976032316,
F12,0.8737131418898281,-1.2472744486266036,0.30993251856526854,-3.791786255440267,0.00014956761863548136,0.001250921364130525
GRK6,18.516203106391377,-0.33564971293270374,0.14054747287272742,-2.68654660486567,0.007219487584004707,0.03273838639386251
PRR7-AS1,0.09178851063579437,-1.6694987070221443,0.5261083341211917,-1.906741615016308,0.056554055205114896,
