ligand_complex,receptor_complex,source,target,resources,n_resources,mean_lrscore,max_lrscore,min_lrscore
C5,C5AR1,Late erythroid,Regulatory T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Tcm/Naive cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Tcm/Naive helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Tem/Effector helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Tem/Temra cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,Tem/Trm cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Late erythroid,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,MAIT cells,CD16+ NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,MAIT cells,Classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,MAIT cells,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,MAIT cells,Late erythroid,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,MAIT cells,MAIT cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,MAIT cells,Mast cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,MAIT cells,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,MAIT cells,Megakaryocytes/platelets,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
